# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3] c_flux[4]*c_flux[4] c_flux[5]*c_flux[5] c_flux[6]*c_flux[6]
0 100
41 140000 161 -859.926 -2587.87 -377277 -113176 -172804 -181813
42 143500 160 54141.3 6115.5 -159687 129547 -84054.6 -132304
43 147000 159 2978.01 21600.2 -63661.9 -277081 25050 57658.3
44 150500 158 -22791.5 15584.5 -38662.5 311150 6303.75 -149517
45 154000 157 5948.33 -22570.1 148974 188359 -196970 25452.1
46 157500 156 -11949.6 -11042.8 -187197 -44994.2 41059.3 -76906
47 161000 155 -7586.89 -28994.2 -67042.6 -129822 -43082.6 -81857.2
48 164500 154 -7576.7 64149.8 310445 81611.6 -114408 12572.1
49 168000 153 -13172.1 14238.7 -34934.8 -275112 -101818 -178044
50 171500 152 -25123.4 -38888.7 -475432 202101 75702.3 -80646.3
51 175000 151 10100.1 110156 458382 -17984.6 -136556 254070
52 178500 150 42824.4 2285.29 345120 264704 -173454 288691
53 182000 149 14199.4 -53947.7 -28440.5 -91093.2 -216212 173209
54 185500 148 -55726.5 47594.8 -45890.7 5157.25 329400 -89547.8
55 189000 147 28269.7 2965.57 -100999 -81701.6 -185912 -28294.4
56 192500 146 35298.6 -7448.93 122154 -189890 -320621 273759
57 196000 145 -34587.9 20540.5 2412.98 -147736 112380 -10692.1
58 199500 144 -46700.1 -17876.8 506938 -13420.5 95626.6 156848
59 203000 143 9599.21 33926.3 -131266 16572.8 -78930.4 -69949.7
60 206500 142 14880.3 -32958 -343362 -136472 -196978 -235168
61 210000 141 17600.7 -41197.1 180927 -39899.6 -1224.39 431.199
62 213500 140 31942.3 53834.1 616906 27648.6 195671 282262
63 217000 139 -25780.3 51020.8 -30875 42646.2 56427.8 -395848
64 220500 138 25340.5 -65966.7 -829603 179948 14369.6 -754552
65 224000 137 9436.33 -398.843 -116732 58600.1 -73327.8 -158548
66 227500 136 -27950.2 60386.3 170759 -302339 103665 30157.8
67 231000 135 -10143.2 -65514 65137.6 140753 -203469 47512.2
68 234500 134 -22149.1 20735.5 -37422.7 -378674 421294 -38429.3
69 238000 133 -6987.99 43992.3 -62722.9 224248 99213.6 -288122
70 241500 132 25195.8 -23542.1 129933 -72520.7 113093 235716
71 245000 131 27578.9 24278.4 -322678 10932.9 55710 -96957.3
72 248500 130 15846.1 -8663.21 80335.5 148051 -12574.6 -108951
73 252000 129 33665.2 38768.9 77686.1 288505 244418 115075
74 255500 128 36982.4 41315.3 185965 103135 246355 28607.9
75 259000 127 30844.9 33092 -25638.6 2704.36 -101909 22655.4
76 262500 126 -17059.7 58638.5 161027 -188027 264314 307045
77 266000 125 -31435.4 -29600.6 288828 -148063 -231057 196821
78 269500 124 17154.9 -26355.2 114255 -6890.39 -159513 38760.3
79 273000 123 44722.4 73651.1 -348673 81277.4 245978 -386146
80 276500 122 34749.6 3848.45 -37739.9 402171 -283915 -111481
81 280000 121 -40264.5 -1922.96 364269 -178532 -135719 333417
82 283500 120 44992.8 61983.9 62293.6 97870.7 273969 -113110
83 287000 119 12562.9 -34372.2 -348114 93737.8 -237603 -261968
84 290500 118 -65557.3 -11838.8 56923.6 -212906 -46237.7 235982
85 294000 117 -35619 -7938.81 -120233 -54266.2 -222075 56554.8
86 297500 116 12377.9 21437.6 82924.6 86018.7 149231 51353
87 301000 115 8093.08 67537.8 42536.9 -398365 15596.7 -60113
88 304500 114 -7253.01 -45108.2 -272782 221602 141957 11640.3
89 308000 113 -34741.5 -62077.1 -181103 -50569.7 -139633 -269468
90 311500 112 24334.4 1986.03 206998 -157696 26154.6 5258.72
91 315000 111 30470 72929.5 450818 -41762.8 -275952 193017
92 318500 110 23137.1 -27821.6 -9944.36 -27868.6 -1073.76 -58471.5
93 322000 109 23890.1 -74137.6 -740881 -101794 -157139 -442239
94 325500 108 39510.7 16871.7 -127687 239307 41661.9 -150679
95 329000 107 -31821.7 42390 488999 288067 205750 233342
96 332500 106 -35023 10083.7 -346264 -428144 241192 -161293
97 336000 105 -7512.86 -109818 -56185.1 78410.7 -549406 -446675
98 339500 104 27622.2 52964.4 -51963.2 -131694 320579 -124528
99 343000 103 -51110.7 78241 -110409 -115885 121151 122574
100 346500 102 -36423 -57373.2 -236536 349240 -118364 89794.7
1050000 100
1 0 301 515864 512264 3.04073e+06 2.58249e+06 2.51306e+06 2.36148e+06
2 3500 300 -41638 -64673.6 -38458.5 -298924 -247835 152673
3 7000 299 -130907 -145361 -573914 -578082 -375932 -612324
4 10500 298 104092 137545 -62143.9 287476 207847 42662
5 14000 297 59631.5 23788.8 35497.9 -42832.1 144081 131430
6 17500 296 -95498.3 -46877 -37122.2 -428208 -249445 -17550.4
7 21000 295 32560.8 13988.8 57386.5 127334 96416.5 74050.9
8 24500 294 46674.7 50748.3 123123 55233.8 270865 16089.9
9 28000 293 9495.93 2406.69 -56663 21175.5 -86285.3 -45123
